state_abbr,week_start,week_end,week,temp_avg_week,precip_total_week,humidity_avg_week
ID,2025-01-22,2025-01-28,5,-7.385714285714286,0.9,50.142857142857146
ID,2025-01-29,2025-02-04,6,-2.925,8.3,60.25
IL,2025-01-01,2025-01-07,2,-4.6000000000000005,6.9,71.85714285714286
IL,2025-01-08,2025-01-14,3,-7.028571428571429,9.5,83.28571428571429
IL,2025-01-15,2025-01-21,4,-9.542857142857143,0.1,66.57142857142857
IL,2025-01-22,2025-01-28,5,-4.928571428571429,0.5,64.28571428571429
IL,2025-01-29,2025-02-04,6,2.65,8.6,77.5
IN,2025-01-01,2025-01-07,2,-3.9,10.399999999999999,72.57142857142857
IN,2025-01-08,2025-01-14,3,-7.771428571428571,7.2,83.28571428571429
IN,2025-01-15,2025-01-21,4,-8.314285714285715,6.999999999999999,75.28571428571429
IN,2025-01-22,2025-01-28,5,-5.742857142857143,0.4,71.0
IN,2025-01-29,2025-02-04,6,3.25,3.3,78.0
KS,2025-01-01,2025-01-07,2,-6.285714285714286,33.2,77.0
KS,2025-01-08,2025-01-14,3,-6.3428571428571425,5.2,84.14285714285714
KS,2025-01-15,2025-01-21,4,-7.7,0.9,72.57142857142857
KS,2025-01-22,2025-01-28,5,-3.4,0.0,72.14285714285714
KS,2025-01-29,2025-02-04,6,4.225,9.7,76.75
KY,2025-01-01,2025-01-07,2,-1.342857142857143,33.9,73.0
KY,2025-01-08,2025-01-14,3,-4.314285714285714,7.0,82.85714285714286
KY,2025-01-15,2025-01-21,4,-4.771428571428572,11.0,73.14285714285714
KY,2025-01-22,2025-01-28,5,-1.9571428571428573,0.0,56.142857142857146
KY,2025-01-29,2025-02-04,6,5.775,51.8,74.0
LA,2025-01-01,2025-01-07,2,9.285714285714286,27.4,67.71428571428571
LA,2025-01-08,2025-01-14,3,5.185714285714285,43.1,72.71428571428571
LA,2025-01-15,2025-01-21,4,6.742857142857143,40.699999999999996,60.285714285714285
LA,2025-01-22,2025-01-28,5,6.142857142857143,39.7,67.28571428571429
LA,2025-01-29,2025-02-04,6,16.175,51.8,75.5
MA,2025-01-01,2025-01-07,2,-1.8142857142857143,23.0,58.42857142857143
MA,2025-01-08,2025-01-14,3,-3.3428571428571425,4.4,59.142857142857146
MA,2025-01-15,2025-01-21,4,-4.457142857142857,18.2,67.0
MA,2025-01-22,2025-01-28,5,-6.414285714285714,0.1,60.857142857142854
MA,2025-01-29,2025-02-04,6,-2.825,19.7,69.75
MD,2025-01-01,2025-01-07,2,-0.5428571428571428,22.2,62.42857142857143
MD,2025-01-08,2025-01-14,3,-3.142857142857143,3.8000000000000003,68.42857142857143
